Model,Actual,Predicted,Count
Logistic Regression,positive,positive,22
Logistic Regression,positive,neutral,2
Logistic Regression,positive,negative,0
Logistic Regression,neutral,positive,4
Logistic Regression,neutral,neutral,16
Logistic Regression,neutral,negative,4
Logistic Regression,negative,positive,2
Logistic Regression,negative,neutral,0
Logistic Regression,negative,negative,22
Linear SVM,positive,positive,23
Linear SVM,positive,neutral,1
Linear SVM,positive,negative,0
Linear SVM,neutral,positive,6
Linear SVM,neutral,neutral,14
Linear SVM,neutral,negative,4
Linear SVM,negative,positive,2
Linear SVM,negative,neutral,0
Linear SVM,negative,negative,22
Complement Naive Bayes,positive,positive,23
Complement Naive Bayes,positive,neutral,1
Complement Naive Bayes,positive,negative,0
Complement Naive Bayes,neutral,positive,5
Complement Naive Bayes,neutral,neutral,16
Complement Naive Bayes,neutral,negative,3
Complement Naive Bayes,negative,positive,0
Complement Naive Bayes,negative,neutral,0
Complement Naive Bayes,negative,negative,24
